Year,AI,genAI,Dx
2000,0,0,0
2001,0,0,0
2002,0,0,0
2003,0,0,0
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,0,0,0
2008,0,0,0
2009,0,0,0
2010,0,0,0
2011,0,0,0
2012,0,0,1
2013,0,0,1
2014,0,0,1
2015,0,0,2
2016,1,0,2
2017,8,0,5
2018,15,0,12
2019,15,0,21
2020,24,0,35
2021,12,0,29
2022,5,0,24
2023,62,25,18
2024,137,46,11
